Date Filed,Landlord Tenant,Ground,Petition Number,Street Address Number,Street Address Street,Street Address Suffix,Location 1
01/03/2005 12:00:00 AM,Landlord,Capital Improvements,L050001,846,Bush,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
01/03/2005 12:00:00 AM,Landlord,Capital Improvements,L050010,846,Bush,Street,"San Francisco, CA 94108
(37.791480000202, -122.40759999964013)"
01/12/2005 12:00:00 AM,Landlord,Capital Improvements,L050036,1945,Lake,Street,"San Francisco, CA 94121
(37.779250000087586, -122.48991000024614)"
01/12/2005 12:00:00 AM,Landlord,Capital Improvements,L050037,1055,Dolores,Street,"San Francisco, CA 94110
(37.75287999991224, -122.41721000034107)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050053,29,Fuente,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050054,18,Diaz,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050055,19,Diaz,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050056,308,Font,Boulevard,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050057,219,Font,Boulevard,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050058,324,Gonzalez,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050059,4,Rivas,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050060,16,Rivas,Avenue,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
01/18/2005 12:00:00 AM,Landlord,Capital Improvements,L050061,559,Arballo,Drive,"San Francisco, CA 94132
(37.72170999961696, -122.48148000000185)"
