Location_ID,Business_Account_Number,Ownership_Name,DBA Name,Street_Address,City,State,Zip_Code,Business_Start_Date,Location Start Date,Mail_Address,Mail_City_State_Zip,Class Code,PBC Code
0000671-01-001,671,ALIOTO FISH CO LTD,ALIOTOS,360A JEFFERSON ST,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,360A JEFFERSON ST.,SAN FRANCISCO CA 94133-1108,8,5800
0000671-01-002,671,ALIOTO FISH CO LTD,ALIOTOS,8 FISHERMANSWHARF,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,360A JEFFERSON ST.,SAN FRANCISCO CA 94133-1108,8,5800
0000671-08-001,671,ALIOTO FISH CO LTD,NONNA ROSE RESTAURANT INC,8 FISHERMAN'S WHARF,San Francisco,CA,94133,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360A JEFFERSON ST.,SAN FRANCISCO CA 94133-1108,8,5800
0000671-09-001,671,ALIOTO FISH CO LTD,AFC CAFE 8 INC,8 FISHERMAN'S WHARF,San Francisco,CA,94133,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360A JEFFERSON ST.,SAN FRANCISCO CA 94133-1108,8,5800
0000671-10-001,671,ALIOTO FISH CO LTD,AFC CRABSTAND INC,8 FISHERMAN'S WHARF,San Francisco,CA,94133,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360A JEFFERSON ST.,SAN FRANCISCO CA 94133-1108,8,5800
0004069-01-001,4069,BUDDHA LOUNGE INC,BUDDHA LOUNGE INC,901 GRANT AVE,San Francisco,CA,94108,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,901 GRANT AVE,SAN FRANCISCO CA 94108-1301,8,5800
0004224-01-001,4224,GABRIELS HORN INC,BUS STOP,1901 UNION ST,San Francisco,CA,94123,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,1901 UNION ST,SAN FRANCISCO CA 94123-4204,8,5800
0005075-01-001,5075,LOLMAN ENTERPRISES INC,CASTAGNOLA'S,286 JEFFERSON ST,San Francisco,CA,94133,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,286 JEFFERSON ST,SAN FRANCISCO CA 94133-1126,8,5800
0005975-01-001,5975,CLUB 65 INC,CLUB 65 INC,65 TAYLOR ST,San Francisco,CA,94102,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,88 BAMBLIN LN,MILL SPRING NC 28756-7708,8,5800
0006838-01-001,6838,YOUNG ANN,CROWN DOUGHNUT SHOP,4000 3RD ST,San Francisco,CA,94124,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,4000 3RD ST,SAN FRANCISCO CA 94124-2129,8,3079
